x,y
75,75
73.8754,73.7026
72.9893,74.1662
72.1128,74.6475
71.1187,74.7562
70.1598,74.4724
69.1628,74.5493
68.4156,75.2139
67.8776,76.0568
66.9152,75.785
66.0639,75.2603
65.2657,74.6579
64.2657,74.6559
63.2991,74.3996
62.3074,74.5286
61.3307,74.3144
60.3448,74.147
59.484,74.6561
58.484,74.6587
57.484,74.6631
57.1854,73.7088
56.2624,73.3238
55.4023,72.8137
54.4264,72.5957
53.431,72.4993
53.0174,71.5888
52.8649,70.6005
51.8841,70.4056
50.9856,69.9665
50.3715,69.1773
49.5231,68.648
49.236,67.6901
48.4241,67.1064
47.473,66.7976
47.0007,65.9161
46.9601,64.9169
46.4769,64.0414
45.8605,63.254
46.4812,62.4699
47.4428,62.1955
48.0008,61.3657
48.3553,60.4306
48.7105,59.4959
49.1399,58.5927
50.038,58.153
50.816,57.5247
51.2654,56.6314
51.6693,55.7166
52.5044,55.1665
53.1341,54.3896
53.8837,53.7278
54.3805,52.8599
54.9928,52.0693
54.3916,51.2702
54.2944,50.2749
53.8138,49.398
53.5118,48.4447
52.8586,47.6874
53.4162,46.8573
53.4001,45.8574
52.4003,45.879
51.9331,44.9949
51.0661,44.4966
50.6401,43.5918
49.8926,42.9276
49.9662,41.9303
50.3487,41.0064
50.8447,40.138
50.0933,39.4782
49.2693,38.9117
49.353,37.9152
48.4104,37.5813
48.1983,36.604
47.9156,35.6448
47.3511,34.8194
46.6331,34.1234
46.8355,33.1441
46.1306,32.4348
45.1912,32.7778
44.5189,32.0376
43.5401,32.2425
42.6565,31.7742
41.6934,31.505
40.7826,31.9179
40.1502,31.1433
39.18,30.9009
38.7328,30.0065
37.7397,30.1235
37.1763,29.2973
36.2419,29.6536
35.502,30.3262
34.5195,30.5128
33.7688,29.8521
32.8635,30.2769
31.8743,30.4234
30.8744,30.4325
29.8748,30.4046
28.88,30.507
27.8965,30.3263
26.9049,30.4561
25.9058,30.4964
24.9061,30.469
23.9451,30.1925
23.8258,29.1997
22.9901,28.6504
22.5149,27.7706
22.0569,26.8816
21.3935,26.1333
22.0054,25.3423
21.7939,24.365
21.1076,23.6377
20.1889,23.2426
19.566,22.4603
19.2873,21.4999
19.469,20.5166
18.8382,19.7406
18.0243,19.1595
17.3038,18.4661
17.3096,17.4661
16.9598,16.5293
15.9598,16.5257
15.0195,16.1853
14.3633,15.4308
13.3651,15.3708
13.1041,14.4054
12.9357,13.4197
11.999,13.0697
11.0112,13.2256
10.0188,13.1025
10.0442,12.1028
10.0863,11.1037
9.43546,10.3445
8.88287,9.51106
8.11154,8.87462
7.95246,7.88735
7.8394,6.89377
7.15993,6.16006
6.29444,5.65914
5.69071,4.86195
4.94248,4.19851
4.03792,3.77216
3.67668,2.83969
3.48755,1.85773
2.6207,1.35918
1.65096,1.11504
0.776182,0.630508
