x,y
0,0
0.776182,0.630508
1.65096,1.11504
2.6207,1.35918
3.48755,1.85773
3.67668,2.83969
4.03792,3.77216
4.94248,4.19851
5.69071,4.86195
6.29444,5.65914
7.15993,6.16006
7.8394,6.89377
7.95246,7.88735
8.11154,8.87462
8.82489,6.72407
8.88287,9.51106
9.43546,10.3445
10.0863,11.1037
10.0442,12.1028
10.0188,13.1025
11.0112,13.2256
11.999,13.0697
12.9357,13.4197
13.1041,14.4054
13.3651,15.3708
14.3633,15.4308
15.0195,16.1853
15.9598,16.5257
16.9598,16.5293
17.3096,17.4661
17.3038,18.4661
18.0243,19.1595
18.8382,19.7406
19.469,20.5166
19.2873,21.4999
19.566,22.4603
12.7074,16.1241
20.1889,23.2426
20.4247,20.2224
21.3929,19.972
21.1076,23.6377
21.3123,20.683
22.3927,19.9558
21.7939,24.365
22.0054,25.3423
21.3935,26.1333
22.0569,26.8816
22.5149,27.7706
23.2656,19.4678
22.9901,28.6504
23.8258,29.1997
23.9451,30.1925
24.2571,19.3378
25.1905,18.9791
21.1412,19.0042
24.9061,30.469
26.1904,18.9928
25.9058,30.4964
7.03087,4.98263
17.5168,15.6988
13.4466,12.56
26.9049,30.4561
26.7395,18.1571
27.657,18.5549
9.03885,12.9033
13.3775,11.5624
13.984,10.7673
7.38177,4.04622
27.8965,30.3263
28.657,18.554
14.5986,9.97853
29.6546,18.6229
8.43503,13.7004
30.6543,18.6454
29.5566,19.6181
28.88,30.507
20.4714,26.5202
26.8048,17.1592
9.29912,5.84367
17.3037,19.8528
24.1133,20.3274
19.4746,26.44
21.0569,26.8695
18.7165,27.0921
18.0094,27.7992
17.2391,28.4369
29.8748,30.4046
6.83339,3.20999
30.8744,30.4325
31.8743,30.4234
26.7966,16.1592
16.948,29.3936
16.4028,30.2319
32.8635,30.2769
7.69437,14.3723
26.215,15.3457
16.3335,28.0128
33.7688,29.8521
34.5195,30.5128
35.502,30.3262
24.0244,18.3653
36.2419,29.6536
25.3275,14.885
37.1763,29.2973
37.7397,30.1235
38.7328,30.0065
39.18,30.9009
40.1502,31.1433
40.7826,31.9179
41.6934,31.505
15.4034,30.1983
42.6565,31.7742
43.5401,32.2425
44.5189,32.0376
45.1912,32.7778
46.1306,32.4348
46.8355,33.1441
1.65449,2.11503
46.6331,34.1234
47.7507,32.7412
40.4269,32.8525
47.3511,34.8194
40.1764,33.8206
44.7703,31.0698
33.1275,29.0849
47.9156,35.6448
48.1983,36.604
48.4104,37.5813
49.353,37.9152
49.2693,38.9117
50.0933,39.4782
50.8447,40.138
48.6463,32.2963
49.538,31.8437
50.3487,41.0064
49.9662,41.9303
49.8926,42.9276
51.839,40.0307
50.6401,43.5918
50.5078,31.5998
25.5281,13.9053
51.0661,44.4966
50.964,30.7099
52.8389,40.0206
51.9331,44.9949
51.7868,30.1415
49.0845,43.5167
52.4003,45.879
26.311,13.2832
38.8968,29.02
53.4001,45.8574
25.6602,12.524
53.4162,46.8573
7.8928,9.65163
52.8586,47.6874
53.5118,48.4447
53.8352,39.9341
53.8138,49.398
54.2944,50.2749
14.5555,11.5879
54.3916,51.2702
54.9928,52.0693
52.7478,29.8652
54.3805,52.8599
53.8837,53.7278
53.1341,54.3896
51.5165,46.347
6.69854,14.2811
52.5044,55.1665
51.6693,55.7166
52.9194,28.88
52.7825,27.8894
54.6568,39.364
53.0967,55.9723
53.4064,27.1079
54.3445,26.7615
53.6326,56.8166
51.2654,56.6314
55.3166,26.5268
50.816,57.5247
56.2863,26.7709
53.886,57.7839
6.01477,15.0108
50.038,58.153
54.7827,58.2266
57.2836,26.6978
54.7238,59.2249
58.2575,26.9248
7.01117,8.22494
49.1399,58.5927
48.7105,59.4959
48.3553,60.4306
48.0008,61.3657
39.3009,33.3374
47.4428,62.1955
21.0565,27.8695
46.4812,62.4699
59.2013,26.594
38.5259,33.9694
60.1867,26.7638
52.8952,26.2485
20.6828,18.1155
45.8605,63.254
44.8944,62.9958
43.9426,63.3024
43.1614,62.6781
61.0283,27.304
61.8671,26.7596
55.0549,60.1685
62.8084,26.4219
25.2212,11.6255
5.91681,2.81013
15.4725,27.5042
14.6833,26.89
42.3586,63.2743
33.8635,30.2795
63.7541,26.7467
53.9085,29.0272
46.4769,64.0414
55.0694,61.1684
21.3366,27.8296
64.4237,27.4895
48.3315,58.0041
41.5279,62.7177
16.3068,19.7743
40.8205,62.0108
65.2147,26.8776
15.383,19.3912
46.9601,64.9169
47.0007,65.9161
26.0333,11.042
47.473,66.7976
66.0374,27.4462
40.1181,61.299
14.4076,30.1063
38.7154,28.0366
48.4241,67.1064
66.7594,28.1381
39.2288,60.8417
13.6877,26.7962
12.6887,26.8408
38.5954,61.6155
67.7423,27.9538
18.2877,15.0618
49.236,67.6901
68.7386,27.8685
7.0853,10.2415
69.4052,27.1231
46.8091,67.5454
49.5231,68.648
46.2897,68.3999
70.3985,27.0073
71.1541,26.3523
37.6115,61.7944
50.3715,69.1773
14.321,9.01785
50.9856,69.9665
24.3191,11.194
39.2643,59.8423
51.8841,70.4056
48.9868,31.0094
45.9658,69.346
52.8649,70.6005
26.5425,10.1814
71.0562,27.7606
54.3602,45.5779
36.6994,62.2045
54.7888,40.2352
27.5165,10.408
35.8986,62.8034
39.7163,58.9503
72.1458,26.2231
35.3839,63.6607
30.64,17.6455
34.7719,64.4516
53.0174,71.5888
53.431,72.4993
33.8628,64.8683
33.1912,28.0869
54.3002,61.8073
71.6157,28.5893
32.3993,27.4763
72.0877,29.471
11.8413,27.3717
71.8789,30.4489
52.8396,73.3056
26.7652,9.20648
33.1496,65.5693
32.1868,65.2992
54.4264,72.5957
28.4737,10.1185
52.9861,74.2949
29.4178,9.7889
52.8001,75.2774
51.976,48.1576
71.27,31.2422
31.2624,65.6806
55.4023,72.8137
15.5431,9.6499
30.2629,65.6475
39.7126,27.9621
29.3133,65.9608
39.0623,58.1937
56.2624,73.3238
40.472,27.3115
57.1854,73.7088
19.2583,15.3025
29.5146,66.9404
57.484,74.6631
28.3309,66.1476
58.484,74.6587
52.3369,76.1637
51.6727,76.9112
59.484,74.6561
29.3258,67.9224
10.8566,27.5464
71.2959,32.2419
60.3448,74.147
38.2533,27.1498
72.2431,32.5622
16.1228,8.83513
52.7279,48.6788
51.1154,77.7416
61.015,28.3039
38.5566,34.9689
30.416,9.84833
27.3508,65.9492
9.91014,27.2237
61.3307,74.3144
62.3074,74.5286
8.95666,26.9222
30.5337,8.85527
17.3388,14.7461
38.0989,57.9259
26.4148,66.3013
73.0707,33.1236
25.8241,67.1082
50.4171,78.4573
25.0873,67.7843
38.0104,60.8044
63.2991,74.3996
60.4942,73.1582
64.2657,74.6559
65.2657,74.6579
60.7149,29.2578
73.9448,33.6093
66.0639,75.2603
50.3438,79.4547
66.9152,75.785
74.2585,34.5589
74.7264,35.4427
50.8856,80.2952
30.7672,7.88292
60.2366,30.136
67.8776,76.0568
25.0083,68.7812
24.2084,67.3073
23.2392,67.0611
68.5591,76.7886
22.2719,66.8076
68.4156,75.2139
47.4552,57.5225
38.4167,26.1632
8.19066,26.2794
69.1628,74.5493
23.4613,10.6801
68.4262,77.7797
39.2545,35.6851
8.52319,27.8234
27.604,11.4042
74.8498,33.1839
68.1811,78.7492
75.3771,36.202
68.7525,79.5699
21.608,66.0597
24.7293,69.7415
21.0816,65.2095
22.906,11.5117
75.7518,32.7522
51.7373,80.8192
24.6262,70.7362
20.1713,64.7957
21.5334,67.4819
7.91453,28.6168
35.3068,61.9973
52.7348,80.7494
70.1598,74.4724
42.2669,62.2786
14.7224,14.4975
27.1821,16.2331
53.6877,81.0528
20.7261,68.0721
68.6167,80.5607
