x,y
75,75
76.1419,76.0488
77.063,76.438
77.4301,77.3682
76.9593,78.2505
76.6469,79.2004
75.6644,79.3867
74.7809,78.9183
73.8404,78.5787
72.9984,78.0391
72.4953,77.1749
71.825,76.4328
70.9126,76.0235
69.933,75.8227
69.0254,75.4027
68.3216,74.6923
68.1884,73.7012
67.4636,73.0123
66.9734,72.1406
66.5484,71.2354
65.9611,70.426
65.0238,70.7744
64.2011,70.2059
63.9185,69.2466
63.001,68.849
62.0945,69.2712
61.0947,69.2502
60.1111,69.4308
59.156,69.7268
58.211,70.0541
57.5366,70.7924
56.7314,70.1995
55.7521,69.997
54.8174,70.3526
53.8269,70.2151
52.8928,69.8581
52.0418,69.3329
51.0931,69.0167
50.271,68.4475
49.3146,68.1553
48.3147,68.1438
47.3982,68.5439
46.7073,67.821
45.9113,67.2156
44.9812,66.8484
44.8561,65.8562
44.2475,65.0627
43.2481,65.0968
42.3677,64.6225
41.613,63.9664
40.6186,64.0725
40.3819,63.1009
39.45,62.7382
38.4983,62.4312
38.0713,61.5269
37.9326,60.5366
37.4755,59.6472
36.5421,60.006
35.583,59.7227
34.8689,59.0226
34.8921,58.0229
34.6443,57.0541
33.8482,56.4489
32.8859,56.1769
31.9104,55.9571
31.0476,55.4515
30.151,55.0088
29.3608,54.3959
28.4152,54.0705
28.0558,53.1373
27.0561,53.1142
26.2153,52.5728
26.2209,51.5728
25.4472,50.9393
24.9652,50.0631
24.0455,49.6705
23.2558,49.0571
22.625,48.2812
22.2125,47.3702
21.7317,46.4934
21.6082,45.501
20.9583,44.741
20.5593,43.824
20.9513,42.9041
20.8666,41.9077
20.2085,41.1548
20.8277,40.3695
20.2909,39.5258
19.9805,38.5751
19.448,37.7287
19.2949,36.7405
19.6425,35.8029
19.0734,34.9806
18.7511,34.034
18.0811,33.2916
18.2295,32.3027
18.8174,31.4938
18.0623,30.8381
18.0414,29.8383
17.8839,28.8508
17.6131,27.8881
17.2163,26.9702
17.0029,25.9933
16.8529,25.0046
16.4354,24.0959
16.1638,23.1335
16.0037,22.1464
15.8135,21.1647
15.6058,20.1865
15.8831,19.2257
16.7237,18.684
16.779,17.6855
17.1773,16.7683
17.4611,15.8094
17.9543,14.9395
17.264,14.2159
16.3983,13.7153
15.4652,13.3557
14.7941,12.6144
14.5725,11.6392
13.7013,11.1483
12.7088,11.2702
12.009,10.5558
11.0107,10.4965
10.0698,10.1579
9.06997,10.1389
8.86227,9.16074
8.032,8.60337
7.35548,7.86695
6.49036,7.36539
6.11903,6.43688
6.16978,5.43817
5.63997,4.59006
4.99723,3.82397
4.08244,3.42005
3.10589,3.20477
2.9768,2.21313
2.11547,1.70509
1.66668,0.811455
0.997672,0.0682012
