x,y
0,0
0.997672,0.0682012
1.66668,0.811455
2.11547,1.70509
2.9768,2.21313
3.10589,3.20477
4.08244,3.42005
4.99723,3.82397
5.63997,4.59006
6.16978,5.43817
6.11903,6.43688
6.49036,7.36539
7.35548,7.86695
8.032,8.60337
8.86227,9.16074
9.06997,10.1389
10.0698,10.1579
11.0107,10.4965
12.009,10.5558
12.7088,11.2702
13.7013,11.1483
14.5725,11.6392
14.7941,12.6144
15.4652,13.3557
16.3983,13.7153
17.264,14.2159
17.9543,14.9395
18.9389,15.114
17.4611,15.8094
17.1773,16.7683
19.9175,15.3199
20.4577,16.1614
21.3289,16.6523
22.2654,17.0031
22.6086,17.9423
23.1902,16.6227
24.1699,16.4219
25.0936,16.0388
25.8883,16.6458
26.6016,17.3467
27.5725,17.5862
8.27142,10.7409
28.2727,18.3002
29.0729,17.7005
30.0677,17.5985
16.779,17.6855
30.6677,18.3985
16.7237,18.684
31.6645,18.4782
23.6588,17.5062
15.8831,19.2257
15.6058,20.1865
16.9565,12.8856
15.8135,21.1647
5.41581,2.91579
16.0037,22.1464
32.6602,18.385
33.6182,18.0983
5.5783,7.77545
17.4982,12.045
34.5825,18.3629
16.1638,23.1335
16.4354,24.0959
35.5639,18.5551
36.5475,18.3748
37.5447,18.3005
38.4575,17.8921
16.8529,25.0046
39.2725,18.4715
17.0029,25.9933
40.2314,18.1878
17.2163,26.9702
17.6131,27.8881
41.1708,18.5308
17.8839,28.8508
18.0414,29.8383
18.0623,30.8381
18.8174,31.4938
18.2295,32.3027
18.0811,33.2916
18.7511,34.034
42.1435,18.2988
19.0734,34.9806
32.5665,18.0464
43.1435,18.2967
30.2835,16.6221
19.6425,35.8029
19.2949,36.7405
19.448,37.7287
19.9805,38.5751
44.1404,18.375
20.2909,39.5258
20.8277,40.3695
20.2085,41.1548
17.1755,33.7158
20.3796,37.3651
45.1324,18.5016
46.1277,18.405
13.9671,10.1842
20.8666,41.9077
16.257,34.1112
47.1256,18.4696
20.9513,42.9041
21.9024,43.213
47.1917,17.4718
20.5593,43.824
20.9583,44.741
43.1318,17.2968
48.1291,17.1236
40.2699,18.5434
21.6082,45.501
18.1994,11.332
49.0155,17.5864
21.7317,46.4934
42.8865,16.3273
22.2125,47.3702
49.8783,18.092
22.625,48.2812
23.2558,49.0571
24.0455,49.6705
4.60018,7.98349
24.9652,50.0631
50.5155,17.3212
21.6399,48.4532
23.5324,50.5288
51.4959,17.5183
51.8645,18.4478
42.6391,15.3584
30.1914,15.6263
25.4472,50.9393
26.2209,51.5728
42.4159,14.3836
52.0459,16.6832
19.5598,43.8579
26.2153,52.5728
15.3106,33.7882
15.4686,24.3515
53.0143,16.4337
27.0561,53.1142
28.0558,53.1373
28.4152,54.0705
29.3608,54.3959
30.151,55.0088
31.0476,55.4515
54.0093,16.3338
31.9104,55.9571
54.5083,15.4672
32.8859,56.1769
33.8482,56.4489
54.7265,17.0307
34.6443,57.0541
34.8921,58.0229
34.8689,59.0226
35.583,59.7227
35.3826,56.3797
36.5421,60.006
55.2444,17.8861
42.5478,13.3924
56.2436,17.8456
20.6399,48.463
20.0715,49.2858
37.4755,59.6472
57.2341,17.7083
18.5673,43.9796
57.9617,17.0223
58.8002,17.5674
59.5417,18.2383
38.614,16.9044
18.6438,10.4362
19.5399,50.1327
37.9326,60.5366
38.0713,61.5269
30.0535,14.6359
17.5678,44.0112
54.6129,14.4726
18.3176,12.6183
54.9668,13.5374
34.1926,59.7593
38.4983,62.4312
36.2625,55.9044
39.45,62.7382
60.3283,17.6208
40.3819,63.1009
61.2911,17.3505
62.2872,17.4379
63.1786,16.9846
38.1429,63.3659
40.6186,64.0725
18.716,50.6995
63.7985,17.7693
64.7856,17.9295
19.8148,31.4228
37.6446,64.2329
41.613,63.9664
42.3677,64.6225
65.6746,18.3873
17.738,50.9083
43.2481,65.0968
44.2475,65.0627
44.8561,65.8562
16.9118,51.4716
44.9812,66.8484
15.9529,23.22
17.5877,43.0114
45.9113,67.2156
14.3291,33.9795
16.6699,52.4419
55.834,13.0394
66.6032,18.0162
46.7073,67.821
67.2812,17.2811
13.3793,33.6666
68.272,17.1461
68.9119,17.9146
11.1388,9.50474
47.3982,68.5439
48.3147,68.1438
49.3146,68.1553
50.271,68.4475
50.8016,67.5999
51.0931,69.0167
52.0418,69.3329
15.9151,53.0978
52.8928,69.8581
53.8269,70.2151
15.6686,54.067
69.756,17.3784
14.235,9.22078
15.585,55.0635
33.4816,60.4625
37.0126,65.0079
52.3302,70.6848
38.2621,59.0298
36.3566,65.7626
14.483,8.252
70.6655,16.9626
71.33,16.2154
51.5189,66.903
36.1157,66.7332
14.6058,20.1871
72.2697,16.5576
19.6385,10.3338
14.7341,53.711
72.4252,17.5454
73.212,16.2229
52.4022,66.4343
35.9659,67.7219
72.884,18.4339
30.6673,54.1524
